"","Glottocode","Family","InventoryID","Phonemes","Nonlabiodental.phonemes","Fricatives","Nonlabiodental.Fricatives","Labiodentals","Subsistence.AUTOTYP","Subsistence.TOM","Area","Latitude","Longitude","has.labiodentals","Dist"
"842","iban1264","Austronesian [aust1307]",364,25,25,2,2,0,NA,"AGR","S/SE Asia",2.09041,112.934,FALSE,15288.550733662
"843","icel1247","Indo-European [indo1319]",158,39,37,7,5,2,NA,"AGR","W and SW Eurasia",63.4837,-19.0212,TRUE,11428.9679346445
"844","idaa1241","Austronesian [aust1307]",1187,23,23,1,1,0,NA,"AGR","S/SE Asia",5.29059,118.515,FALSE,15650.9998555794
"845","ilok1237","Austronesian [aust1307]",1117,21,21,2,2,0,NA,"AGR","S/SE Asia",15.9361,120.993,FALSE,15312.0409208683
"846","indo1316","Austronesian [aust1307]",1144,31,30,5,4,1,NA,"AGR","S/SE Asia",-7.33458,109.716,TRUE,15513.4020192194
"847","ingu1240","Nakh-Daghestanian [nakh1245]",893,48,46,9,7,2,"AGR","AGR","W and SW Eurasia",42.9525,44.158,TRUE,8063.9235735484
"848","iris1253","Indo-European [indo1319]",2193,50,48,NA,NA,2,"AGR","AGR","W and SW Eurasia",53.2186,-7.61509,TRUE,10378.7316770986
"849","irul1243","Dravidian [drav1251]",1730,52,51,6,5,1,NA,"HG","S/SE Asia",12.70645,79.95209,TRUE,11548.5574782734
"850","ital1282","Indo-European [indo1319]",1145,30,28,5,3,2,NA,"AGR","W and SW Eurasia",43.0464,12.6489,TRUE,8522.71515454525
"851","itel1242","Chukotko-Kamchatkan [chuk1271]",2297,32,32,NA,NA,0,"HG","HG","N-C Asia",56.7798,156.906,FALSE,15353.9112304461
"852","iumi1238","Hmong-Mien [hmon1336]",20,49,48,4,3,1,NA,"AGR","S/SE Asia",20.83,101.17,TRUE,13196.1773692537
"853","ivat1242","Austronesian [aust1307]",376,23,22,3,2,1,NA,"AGR","S/SE Asia",20.3848,121.975,TRUE,15167.427019227
"854","jahh1242","Austroasiatic [aust1305]",2567,52,52,NA,NA,0,NA,"AGR","S/SE Asia",3.67619,102.291,FALSE,14177.4624332176
"855","jaun1243","Indo-European [indo1319]",1731,51,51,4,4,0,NA,"AGR","S/SE Asia",30.5587,77.9084,FALSE,10649.1100238101
"856","java1254","Austronesian [aust1307]",1675,33,32,6,5,1,NA,"AGR","S/SE Asia",-0.572307,110.885,TRUE,15239.70879413
"857","jenn1240","Dravidian [drav1251]",1739,33,33,3,3,0,NA,"HG","S/SE Asia",11.5041,76.5767,FALSE,11297.3809095092
"858","jerr1238","Indo-European [indo1319]",2596,55,53,NA,NA,2,NA,"AGR","W and SW Eurasia",NA,NA,TRUE,NA
